"date","year","month_of_year","month","city","country","max_temp_c","min_temp_c","avg_temp_c"
2023-07-05,2023.0,July     ,7.0,Berlin,Germany,24.20,13.90,18.70
2023-07-04,2023.0,July     ,7.0,Berlin,Germany,22.00,14.80,18.40
2023-07-27,2023.0,July     ,7.0,Berlin,Germany,22.50,12.00,17.10
2023-07-10,2023.0,July     ,7.0,Berlin,Germany,28.10,19.60,23.40
2023-07-31,2023.0,July     ,7.0,Berlin,Germany,19.40,15.00,17.00
2023-07-22,2023.0,July     ,7.0,Berlin,Germany,22.90,13.90,18.20
2023-07-28,2023.0,July     ,7.0,Berlin,Germany,22.80,15.30,18.90
2023-07-20,2023.0,July     ,7.0,Berlin,Germany,20.90,13.90,17.80
2023-07-09,2023.0,July     ,7.0,Berlin,Germany,33.10,17.10,25.50
2023-07-07,2023.0,July     ,7.0,Berlin,Germany,28.60,14.10,21.70
2023-07-06,2023.0,July     ,7.0,Berlin,Germany,22.50,13.30,18.40
2023-07-15,2023.0,July     ,7.0,Berlin,Germany,35.20,18.20,27.10
2023-07-11,2023.0,July     ,7.0,Berlin,Germany,31.30,16.70,24.20
2023-07-23,2023.0,July     ,7.0,Berlin,Germany,25.70,16.30,20.00
2023-07-30,2023.0,July     ,7.0,Berlin,Germany,25.40,15.40,20.00
2023-07-18,2023.0,July     ,7.0,Berlin,Germany,24.90,14.50,20.30
2023-07-13,2023.0,July     ,7.0,Berlin,Germany,26.30,18.20,22.00
2023-07-03,2023.0,July     ,7.0,Berlin,Germany,22.20,13.30,18.20
2023-07-19,2023.0,July     ,7.0,Berlin,Germany,25.60,16.60,20.70
2023-07-25,2023.0,July     ,7.0,Berlin,Germany,21.60,15.30,18.40
2023-07-21,2023.0,July     ,7.0,Berlin,Germany,20.90,13.90,17.50
2023-07-02,2023.0,July     ,7.0,Berlin,Germany,23.30,15.30,18.60
2023-07-17,2023.0,July     ,7.0,Berlin,Germany,28.00,17.70,22.90
2023-07-26,2023.0,July     ,7.0,Berlin,Germany,20.70,12.40,17.00
2023-07-29,2023.0,July     ,7.0,Berlin,Germany,22.90,16.20,19.40
2023-07-08,2023.0,July     ,7.0,Berlin,Germany,31.50,15.20,23.90
2023-07-24,2023.0,July     ,7.0,Berlin,Germany,28.30,17.40,21.60
2023-07-12,2023.0,July     ,7.0,Berlin,Germany,28.80,19.60,23.90
2023-08-28,2023.0,August   ,8.0,Berlin,Germany,21.50,14.60,17.80
2023-08-08,2023.0,August   ,8.0,Berlin,Germany,20.40,12.50,16.00
2023-08-10,2023.0,August   ,8.0,Berlin,Germany,21.20,11.70,16.40
2023-08-03,2023.0,August   ,8.0,Berlin,Germany,22.40,16.20,19.30
2023-08-27,2023.0,August   ,8.0,Berlin,Germany,22.80,17.90,20.10
2023-08-14,2023.0,August   ,8.0,Berlin,Germany,30.10,17.90,23.80
2023-08-16,2023.0,August   ,8.0,Berlin,Germany,28.50,19.70,23.40
2023-08-07,2023.0,August   ,8.0,Berlin,Germany,17.80,13.20,15.00
2023-08-04,2023.0,August   ,8.0,Berlin,Germany,22.40,16.30,19.20
2023-08-21,2023.0,August   ,8.0,Berlin,Germany,27.70,19.50,23.00
2023-08-01,2023.0,August   ,8.0,Berlin,Germany,20.80,15.60,17.60
2023-08-30,2023.0,August   ,8.0,Berlin,Germany,21.20,12.90,16.00
2023-08-06,2023.0,August   ,8.0,Berlin,Germany,19.80,14.70,17.10
2023-08-02,2023.0,August   ,8.0,Berlin,Germany,22.20,14.10,17.80
2023-08-24,2023.0,August   ,8.0,Berlin,Germany,28.40,16.60,22.70
2023-08-15,2023.0,August   ,8.0,Berlin,Germany,30.20,19.80,24.60
2023-08-31,2023.0,August   ,8.0,Berlin,Germany,19.30,13.80,16.30
2023-08-20,2023.0,August   ,8.0,Berlin,Germany,28.60,22.30,25.30
2023-08-22,2023.0,August   ,8.0,Berlin,Germany,25.80,19.60,22.60
2023-08-26,2023.0,August   ,8.0,Berlin,Germany,26.70,19.80,22.80
2023-08-19,2023.0,August   ,8.0,Berlin,Germany,31.70,19.90,26.20
2023-08-17,2023.0,August   ,8.0,Berlin,Germany,25.90,18.00,21.50
2023-08-29,2023.0,August   ,8.0,Berlin,Germany,16.30,13.70,14.40
2023-08-18,2023.0,August   ,8.0,Berlin,Germany,29.90,19.00,24.30
2023-08-11,2023.0,August   ,8.0,Berlin,Germany,27.00,13.90,20.10
2023-08-13,2023.0,August   ,8.0,Berlin,Germany,26.70,17.40,21.80
2023-08-23,2023.0,August   ,8.0,Berlin,Germany,26.60,17.20,21.80
2023-08-05,2023.0,August   ,8.0,Berlin,Germany,22.60,14.30,18.60
2023-08-09,2023.0,August   ,8.0,Berlin,Germany,20.60,12.00,16.40
2023-08-25,2023.0,August   ,8.0,Berlin,Germany,31.60,20.60,25.00
2023-08-12,2023.0,August   ,8.0,Berlin,Germany,26.70,17.80,21.90
2023-09-06,2023.0,September,9.0,Berlin,Germany,29.40,17.40,23.10
2023-09-02,2023.0,September,9.0,Berlin,Germany,22.70,14.20,18.40
2023-09-23,2023.0,September,9.0,Berlin,Germany,20.30,13.20,16.30
2023-09-13,2023.0,September,9.0,Berlin,Germany,20.10,12.60,17.00
2023-09-11,2023.0,September,9.0,Berlin,Germany,30.40,19.90,25.10
2023-09-01,2023.0,September,9.0,Berlin,Germany,20.60,12.20,16.10
2023-09-22,2023.0,September,9.0,Berlin,Germany,20.00,15.40,17.90
2023-09-24,2023.0,September,9.0,Berlin,Germany,20.60,11.00,15.80
2023-09-17,2023.0,September,9.0,Berlin,Germany,27.10,16.70,21.60
2023-09-21,2023.0,September,9.0,Berlin,Germany,27.40,16.60,21.50
2023-09-09,2023.0,September,9.0,Berlin,Germany,31.40,18.00,24.30
2023-09-25,2023.0,September,9.0,Berlin,Germany,22.60,11.60,16.70
2023-09-10,2023.0,September,9.0,Berlin,Germany,30.50,18.80,24.40
2023-09-19,2023.0,September,9.0,Berlin,Germany,21.20,17.00,19.00
2023-09-14,2023.0,September,9.0,Berlin,Germany,20.60,10.70,15.60
2023-09-20,2023.0,September,9.0,Berlin,Germany,25.30,15.90,19.90
2023-09-26,2023.0,September,9.0,Berlin,Germany,26.00,14.50,20.10
2023-09-07,2023.0,September,9.0,Berlin,Germany,29.50,17.50,23.20
2023-09-27,2023.0,September,9.0,Berlin,Germany,26.40,17.10,21.50
2023-09-18,2023.0,September,9.0,Berlin,Germany,28.50,18.30,23.10
2023-09-05,2023.0,September,9.0,Berlin,Germany,28.30,17.00,22.40
2023-09-08,2023.0,September,9.0,Berlin,Germany,30.20,17.40,23.50
2023-09-29,2023.0,September,9.0,Berlin,Germany,26.00,17.70,20.80
2023-09-30,2023.0,September,9.0,Berlin,Germany,20.00,12.60,16.50
2023-09-12,2023.0,September,9.0,Berlin,Germany,28.60,19.90,23.30
2023-09-28,2023.0,September,9.0,Berlin,Germany,27.00,17.00,21.20
2023-09-15,2023.0,September,9.0,Berlin,Germany,24.40,13.10,18.50
2023-09-16,2023.0,September,9.0,Berlin,Germany,27.30,14.60,20.70
2023-09-04,2023.0,September,9.0,Berlin,Germany,25.90,14.00,19.90
2023-09-03,2023.0,September,9.0,Berlin,Germany,22.60,15.80,18.90
2023-10-13,2023.0,October  ,10.0,Berlin,Germany,20.50,14.00,17.10
2023-10-04,2023.0,October  ,10.0,Berlin,Germany,18.10,12.00,14.40
2023-10-22,2023.0,October  ,10.0,Berlin,Germany,16.30,10.50,13.20
2023-10-24,2023.0,October  ,10.0,Berlin,Germany,13.20,10.50,11.60
